Date,Date_Key,Year,Month,Month_Name,Quarter,Is_Fiscal_Period
2022-01-01,202201,2022,1,January,Q1,1
2022-02-01,202202,2022,2,February,Q1,1
2022-03-01,202203,2022,3,March,Q1,1
2022-04-01,202204,2022,4,April,Q2,1
2022-05-01,202205,2022,5,May,Q2,1
2022-06-01,202206,2022,6,June,Q2,1
2022-07-01,202207,2022,7,July,Q3,1
2022-08-01,202208,2022,8,August,Q3,1
2022-09-01,202209,2022,9,September,Q3,1
2022-10-01,202210,2022,10,October,Q4,1
2022-11-01,202211,2022,11,November,Q4,1
2022-12-01,202212,2022,12,December,Q4,1
2023-01-01,202301,2023,1,January,Q1,1
2023-02-01,202302,2023,2,February,Q1,1
2023-03-01,202303,2023,3,March,Q1,1
2023-04-01,202304,2023,4,April,Q2,1
2023-05-01,202305,2023,5,May,Q2,1
2023-06-01,202306,2023,6,June,Q2,1
2023-07-01,202307,2023,7,July,Q3,1
2023-08-01,202308,2023,8,August,Q3,1
2023-09-01,202309,2023,9,September,Q3,1
2023-10-01,202310,2023,10,October,Q4,1
2023-11-01,202311,2023,11,November,Q4,1
2023-12-01,202312,2023,12,December,Q4,1
2024-01-01,202401,2024,1,January,Q1,1
2024-02-01,202402,2024,2,February,Q1,1
2024-03-01,202403,2024,3,March,Q1,1
2024-04-01,202404,2024,4,April,Q2,1
2024-05-01,202405,2024,5,May,Q2,1
2024-06-01,202406,2024,6,June,Q2,1
2024-07-01,202407,2024,7,July,Q3,1
2024-08-01,202408,2024,8,August,Q3,1
2024-09-01,202409,2024,9,September,Q3,1
2024-10-01,202410,2024,10,October,Q4,1
2024-11-01,202411,2024,11,November,Q4,1
2024-12-01,202412,2024,12,December,Q4,1
